year,supplier_name,country_area,country,supplier_address
2022,3M,中港澳,China,Guangdong
2022,3M,中港澳,China,Jiangsu
2022,3M,中港澳,China,Shanghai
2022,3M,東北亞（不含中港澳台）,Japan,Miyazaki
2022,3M,東北亞（不含中港澳台）,Japan,Yamagata
2022,3M,東南亞,Singapore,Singapore
2022,3M,東北亞（不含中港澳台）,Korea,Gyeonggi-Do
2022,3M,東北亞（不含中港澳台）,Korea,Jeollanam-Do
2022,3M,北美,USA,Alabama
2022,3M,北美,USA,Indiana
2022,3M,北美,USA,Iowa
2022,3M,北美,USA,Minnesota
2022,3M,北美,USA,Ohio
2022,3M,北美,USA,South Carolina
2022,3M,北美,USA,Wisconsin
2022,AAC Acoustic Technologies Holdings Incorporated,中港澳,China,Guangdong
2022,AAC Acoustic Technologies Holdings Incorporated,中港澳,China,Jiangsu
2022,"Advanced Semiconductor Engineering Technology Holding Co., Ltd.",中港澳,China,Jiangsu
2022,"Advanced Semiconductor Engineering Technology Holding Co., Ltd.",中港澳,China,Shanghai
2022,"Advanced Semiconductor Engineering Technology Holding Co., Ltd.",東北亞（不含中港澳台）,Japan,Yamagata
2022,"Advanced Semiconductor Engineering Technology Holding Co., Ltd.",台灣,Taiwan,Taiwan
2022,"Advanced Semiconductor Engineering Technology Holding Co., Ltd.",東南亞,Vietnam,Hai Phong
2022,AGC Incorporated,歐洲,Belgium,Antwerp
2022,AGC Incorporated,中港澳,China,Guangdong
2022,AGC Incorporated,中港澳,China,Jiangsu
2022,AGC Incorporated,東北亞（不含中港澳台）,Japan,Chiba
2022,AGC Incorporated,東北亞（不含中港澳台）,Japan,Fukushima
2022,AGC Incorporated,東北亞（不含中港澳台）,Japan,Hyogo
2022,AGC Incorporated,東北亞（不含中港澳台）,Japan,Shizuoka
2022,AGC Incorporated,東南亞,Thailand,Lamphun
2022,AKM Meadville Electronics (Xiamen) Company Limited,中港澳,China,Guangdong
2022,AKM Meadville Electronics (Xiamen) Company Limited,中港澳,China,Jiangsu
2022,AKM Meadville Electronics (Xiamen) Company Limited,中港澳,China,Shanghai
2022,Alpha and Omega Semiconductor Limited,中港澳,China,Chongqing
2022,Alpha and Omega Semiconductor Limited,中港澳,China,Shanghai
2022,Alpha and Omega Semiconductor Limited,北美,USA,Oregon
2022,Alps Alpine Company Limited,中港澳,China,Jiangsu
2022,Alps Alpine Company Limited,中港澳,China,Zhejiang
2022,Alps Alpine Company Limited,東北亞（不含中港澳台）,Japan,Fukushima
2022,Alps Alpine Company Limited,東北亞（不含中港澳台）,Japan,Miyagi
2022,Alps Alpine Company Limited,東北亞（不含中港澳台）,Japan,Niigata
2022,Alps Alpine Company Limited,東南亞,Malaysia,Negeri Sembilan
2022,Amkor Technology Incorporated,中港澳,China,Shanghai
2022,Amkor Technology Incorporated,東北亞（不含中港澳台）,Japan,Fukui
2022,Amkor Technology Incorporated,東北亞（不含中港澳台）,Japan,Hokkaido
2022,Amkor Technology Incorporated,東南亞,Philippines,Laguna
