Date,Period,Y8-ASW,Y8,Y9,Y8-RECCE,Y8-EW,Y8-ELINT,Y-9 EW,H6,H-6K,JH7,J7,J10,J11,J16,SU30,KJ-500	,Z9-ASW,Z8,Mi17-Cargo,WZ-10Attack,Y8-C3,source
2020-09-16,N/A,2,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77345&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-09-18,上午,,,,,,,,2,,,,4,4,8,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77350&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-09-19,上午,1,,,,,,,2,,,,2,2,12,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77351&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-09-21,N/A,2,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77356&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-09-22,N/A,2,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77360&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-09-23,N/A,2,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77362&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-09-24,N/A,1,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77363&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-09-29,N/A,2,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77393&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-10-01,N/A,1,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77401&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-10-03,N/A,1,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77428&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-10-04,N/A,1,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77436&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
